player_name,team_abbreviation,age,draft_number,gp,pts,reb,ast,umapX,umapY,ptsNorm,rebNorm,astNorm
Sean Kilpatrick,BKN,26,Undrafted,31,11.1,1.8,0.9,6.9566064,5.77592,0.487129034,-0.756957035,-0.527872012
Sasha Vujacic,NYK,32,27,61,4.9,2.4,1.4,4.74745,6.0249467,-0.610873872,-0.507491389,-0.24292409
Sasha Kaun,CLE,31,56,25,0.9,1,0.1,-0.08305544,7.056897,-1.319262843,-1.089577898,-0.983788687
Sam Dekker,HOU,22,18,3,0,0.3,0,-0.121916085,6.5222964,-1.478650361,-1.380621152,-1.040778271
Salah Mejri,DAL,30,Undrafted,34,3.7,3.6,0.3,5.455627,8.788698,-0.823390563,-0.008560096,-0.869809518
Ricky Rubio,MIN,25,5,76,10.1,4.3,8.7,10.342202,2.7740493,0.310031791,0.282483159,3.917315571
Ryan Kelly,LAL,25,48,36,4.2,3.4,0.6,5.495406,8.422229,-0.734841942,-0.091715311,-0.698840765
Ryan Anderson,NOP,28,21,66,17,6,1.1,11.1868305,5.8032403,1.532002766,0.989302491,-0.413892843
Russell Westbrook,OKC,27,4,80,23.5,7.8,10.4,10.879849,3.0132256,2.683134844,1.73769943,4.886138506
Russ Smith,MEM,25,47,15,1.5,0.6,0.7,0.9323187,6.385275,-1.213004497,-1.255888329,-0.641851181
Rudy Gobert,UTA,24,27,61,9.1,11,1.5,11.818873,6.996969,0.132934548,3.068182879,-0.185934505
Rudy Gay,SAC,29,8,70,17.2,6.5,1.7,11.254907,5.7168837,1.567422214,1.197190529,-0.071955337
Roy Hibbert,LAL,29,17,81,5.9,4.9,1.2,8.655987,8.31924,-0.433776629,0.531948805,-0.356903259
Ronnie Price,PHX,33,Undrafted,62,5.3,1.6,2.4,5.182042,3.7226174,-0.540034975,-0.840112251,0.326971754
Rondae Hollis-Jefferson,BKN,21,23,29,5.8,5.3,1.5,8.758197,8.314051,-0.451486353,0.698259236,-0.185934505
Rodney Stuckey,IND,30,15,58,8.9,2.7,2.4,6.8555436,4.138832,0.097515099,-0.382758566,0.326971754
Rodney Hood,UTA,23,23,79,14.5,3.4,2.7,8.99951,4.638485,1.089259659,-0.091715311,0.497940507
Robin Lopez,NYK,28,15,82,10.3,7.3,1.4,10.743976,7.528395,0.345451239,1.529811392,-0.24292409
Robert Sacre,LAL,27,60,25,3.5,2.9,0.6,4.1204815,7.674539,-0.858810012,-0.29960335,-0.698840765
Ryan Hollins,MEM,31,50,37,3.4,2.6,0.3,3.5622213,7.510046,-0.876519736,-0.424336173,-0.869809518
Jordan Mickey,BOS,21,33,16,1.3,0.8,0.1,-0.0783145,6.926987,-1.248423946,-1.172733113,-0.983788687
Brian Roberts,POR,30,Undrafted,51,4,0.8,1.1,3.3560271,5.322292,-0.77026139,-1.172733113,-0.413892843
Jordan Hill,IND,28,8,73,8.8,6.2,1.2,9.929302,7.7789774,0.079805375,1.072457706,-0.356903259
Emmanuel Mudiay,DEN,20,7,68,12.8,3.4,5.5,9.936772,2.8091063,0.788194346,-0.091715311,2.093648871
Enes Kanter,OKC,24,3,82,12.7,8.1,0.4,11.384967,6.7752323,0.770484622,1.862432254,-0.812819934
Eric Bledsoe,PHX,26,18,31,20.4,4,6.1,10.794091,3.4651146,2.134133391,0.157750335,2.435586377
Eric Gordon,NOP,27,7,45,15.2,2.2,2.7,8.909685,4.6236463,1.213227729,-0.590646604,0.497940507
Eric Moreland,SAC,24,Undrafted,8,1,1.4,0.1,0.03999947,7.2495193,-1.301553118,-0.923267467,-0.983788687
Erick Green,DEN,25,46,9,1.4,0.7,0.3,-0.12015369,6.891861,-1.230714221,-1.214310721,-0.869809518
Ersan Ilyasova,ORL,29,36,74,10.4,5.4,0.9,9.434233,7.3462114,0.363160964,0.739836844,-0.527872012
Evan Fournier,ORL,23,20,79,15.4,2.8,2.7,8.922516,4.5971503,1.248647177,-0.341180958,0.497940507
Evan Turner,BOS,27,2,81,10.5,4.9,4.4,8.211004,3.2079778,0.380870688,0.531948805,1.466763442
Festus Ezeli,GSW,26,30,46,7,5.6,0.7,8.853445,8.505102,-0.238969662,0.82299206,-0.641851181
Frank Kaminsky,CHA,23,9,81,7.5,4.1,1.2,8.110273,7.6253705,-0.15042104,0.199327943,-0.356903259
Garrett Temple,WAS,30,Undrafted,80,7.3,2.7,1.8,6.424858,4.962466,-0.185840489,-0.382758566,-0.014965752
Gary Harris,DEN,21,19,76,12.3,2.9,1.9,8.500521,5.378121,0.699645725,-0.29960335,0.042023832
Gary Neal,WAS,31,Undrafted,40,9.8,2.1,1.2,6.8174014,5.6967497,0.256902618,-0.632224212,-0.356903259
George Hill,IND,30,26,74,12.1,4,3.5,8.054869,3.3565943,0.664226276,0.157750335,0.953857183
Gerald Green,MIA,30,18,69,8.9,2.4,0.8,6.7260756,5.9563155,0.097515099,-0.507491389,-0.584861596
Gerald Henderson,POR,28,12,72,8.7,2.9,1,6.826526,6.0694475,0.062095651,-0.29960335,-0.470882427
Giannis Antetokounmpo,MIL,21,15,80,16.9,7.7,4.3,11.525848,4.9727316,1.514293042,1.696121823,1.409773858
Glenn Robinson III,IND,22,40,45,3.8,1.5,0.6,2.9006047,6.0572286,-0.805680839,-0.881689859,-0.698840765
Goran Dragic,MIA,30,45,72,14.1,3.8,5.8,10.102467,2.8990335,1.018420762,0.07459512,2.264617624
Gordon Hayward,UTA,26,9,80,19.7,5,3.7,10.62253,4.1122265,2.010165321,0.573526413,1.067836351
Gorgui Dieng,MIN,26,21,82,10.1,7.1,1.7,10.668019,7.6758,0.310031791,1.446656176,-0.071955337
Greg Monroe,MIL,26,7,79,15.3,8.8,2.3,11.768385,5.7756567,1.230937453,2.153475508,0.26998217
Greg Smith,MIN,25,Undrafted,18,2.4,2.3,0.3,2.6631248,7.498445,-1.053616979,-0.549068997,-0.869809518
Greivis Vasquez,MIL,29,28,23,5.7,2,4,6.4564996,2.9347608,-0.469196077,-0.67380182,1.238805105
Elton Brand,PHI,37,1,17,4.1,3.7,1.1,6.0433755,8.161245,-0.752551666,0.033017512,-0.413892843
Elliot Williams,CHA,27,22,5,1.6,0.8,0.8,1.2254543,6.2489414,-1.195294773,-1.172733113,-0.584861596
Elijah Millsap,UTA,28,Undrafted,20,1.8,1.8,1,2.560391,5.823685,-1.159875324,-0.756957035,-0.470882427
Elfrid Payton,ORL,22,10,73,10.7,3.6,6.4,10.1478615,2.7242842,0.416290136,-0.008560096,2.60655513
DeMarcus Cousins,SAC,25,5,65,26.9,11.5,3.3,11.896614,5.4423018,3.285265469,3.276070918,0.839878014
DeMarre Carroll,TOR,29,27,26,11,4.7,1,9.228932,7.052849,0.469419309,0.44879359,-0.470882427
Delon Wright,TOR,24,20,27,3.8,1.4,1.1,3.4299455,5.5634565,-0.805680839,-0.923267467,-0.413892843
Dennis Schroder,ATL,22,17,80,11,2.6,4.4,7.895677,2.9835565,0.469419309,-0.424336173,1.466763442
Deron Williams,DAL,32,3,65,14.1,2.9,5.8,10.029353,2.7948985,1.018420762,-0.29960335,2.264617624
Derrick Favors,UTA,24,3,62,16.4,8.1,1.5,11.581669,5.93804,1.42574442,1.862432254,-0.185934505
Derrick Rose,CHI,27,1,66,16.4,3.4,4.7,10.31687,3.7160704,1.42574442,-0.091715311,1.637732195
Derrick Williams,NYK,25,2,80,9.3,3.7,0.9,8.201315,6.845071,0.168353997,0.033017512,-0.527872012
Devin Booker,PHX,19,13,76,13.8,2.5,2.6,8.840985,4.5864124,0.965291589,-0.465913781,0.440950923
Devin Harris,DAL,33,5,64,7.6,2.2,1.8,6.3104978,5.0838413,-0.132711316,-0.590646604,-0.014965752
Devyn Marble,ORL,23,56,28,2.1,1.4,0.4,1.6883333,7.062724,-1.106746151,-0.923267467,-0.812819934
